"scale","level","subID","sub.gender","masc.femi","task"
"383",2.10750029634849,"fac_11",23,"female","femi","fac"
"384",0.554499406681404,"fac_11",24,"female","femi","fac"
"385",0.495938631867454,"fac_11",25,"male","femi","voi"
"386",0.288103323136715,"fac_11",26,"male","femi","voi"
"387",-0.432137042919088,"fac_11",27,"male","femi","voi"
"388",0.401175652967055,"fac_11",28,"female","femi","voi"
"389",0.828570182809261,"fac_11",29,"female","femi","voi"
"390",0.341645008906728,"fac_11",30,"female","femi","voi"
"391",1.51461755650319,"fac_11",31,"male","femi","sti"
"392",0.21140847292989,"fac_11",32,"male","femi","sti"
"393",0.523713080979102,"fac_11",33,"male","femi","sti"
"394",0.943624673406619,"fac_11",34,"female","femi","sti"
"395",1.23444847675359,"fac_11",35,"female","femi","sti"
"396",0.654654127089004,"fac_11",36,"female","femi","sti"
"397",1.57370619694507,"fac_12",1,"male","masc","fac"
"398",0.679947302834336,"fac_12",2,"male","masc","fac"
"399",0.486283120960651,"fac_12",3,"male","masc","fac"
"400",0.54767232359817,"fac_12",4,"female","masc","fac"
"401",1.58718876932442,"fac_12",5,"female","masc","fac"
"402",1.92635971918232,"fac_12",6,"female","masc","fac"
"403",0.0495781602901932,"fac_12",7,"male","masc","voi"
"404",-0.0251724223572232,"fac_12",8,"male","masc","voi"
"405",0.0552616899329032,"fac_12",9,"male","masc","voi"
"406",0.234455921390545,"fac_12",10,"female","masc","voi"
"407",0.0641432991011054,"fac_12",11,"female","masc","voi"
"408",0.134857089922775,"fac_12",12,"female","masc","voi"
"409",2.29141290249322,"fac_12",13,"male","masc","sti"
"410",2.1402664815392,"fac_12",14,"male","masc","sti"
"411",0.196287793127606,"fac_12",15,"male","masc","sti"
"412",0.282528932668046,"fac_12",16,"female","masc","sti"
"413",1.15772706573407,"fac_12",17,"female","masc","sti"
"414",0.564170420990314,"fac_12",18,"female","masc","sti"
"415",1.08754016713111,"fac_12",19,"male","femi","fac"
"416",1.94039568951564,"fac_12",20,"male","femi","fac"
"417",1.56543168477345,"fac_12",21,"male","femi","fac"
"418",0.972455660030134,"fac_12",22,"female","femi","fac"
"419",2.37896200597328,"fac_12",23,"female","femi","fac"
"420",0.536033910596631,"fac_12",24,"female","femi","fac"
"421",0.240644380019413,"fac_12",25,"male","femi","voi"
"422",0.921657572495128,"fac_12",26,"male","femi","voi"
"423",-0.399220902111685,"fac_12",27,"male","femi","voi"
"424",0.748344289338012,"fac_12",28,"female","femi","voi"
"425",1.01101437653646,"fac_12",29,"female","femi","voi"
"426",0.314712294658597,"fac_12",30,"female","femi","voi"
"427",1.86440412889619,"fac_12",31,"male","femi","sti"
"428",0.607496326115452,"fac_12",32,"male","femi","sti"
"429",0.429251921530058,"fac_12",33,"male","femi","sti"
"430",0.944834713258475,"fac_12",34,"female","femi","sti"
"431",1.6037187771192,"fac_12",35,"female","femi","sti"
"432",0.83218654295519,"fac_12",36,"female","femi","sti"
"433",1.74241575518949,"fac_13",1,"male","masc","fac"
"434",0.903481854019652,"fac_13",2,"male","masc","fac"
"435",0.671918052780743,"fac_13",3,"male","masc","fac"
"436",0.591804944675423,"fac_13",4,"female","masc","fac"
"437",1.9059305839099,"fac_13",5,"female","masc","fac"
"438",2.1750145586581,"fac_13",6,"female","masc","fac"
"439",0.0777850919294787,"fac_13",7,"male","masc","voi"
"440",0.153999616303057,"fac_13",8,"male","masc","voi"
"441",0.16607724569119,"fac_13",9,"male","masc","voi"
"442",0.411828808621775,"fac_13",10,"female","masc","voi"
"443",0.424277499371209,"fac_13",11,"female","masc","voi"
"444",0.364740156430719,"fac_13",12,"female","masc","voi"
"445",2.15438732157716,"fac_13",13,"male","masc","sti"
"446",2.16073529605849,"fac_13",14,"male","masc","sti"
"447",0.261829611498579,"fac_13",15,"male","masc","sti"
"448",0.353015178566639,"fac_13",16,"female","masc","sti"
"449",1.46337949319709,"fac_13",17,"female","masc","sti"
"450",0.468768889236294,"fac_13",18,"female","masc","sti"
"451",1.14458619099577,"fac_13",19,"male","femi","fac"
"452",2.066262829841,"fac_13",20,"male","femi","fac"
"453",1.79663004082904,"fac_13",21,"male","femi","fac"
"454",0.87823341396471,"fac_13",22,"female","femi","fac"
"455",2.7345670063652,"fac_13",23,"female","femi","fac"
"456",0.7211862255705,"fac_13",24,"female","femi","fac"
"457",0.380505905299147,"fac_13",25,"male","femi","voi"
"458",0.766269874000999,"fac_13",26,"male","femi","voi"
"459",-0.1656731387608,"fac_13",27,"male","femi","voi"
"460",0.676287223739841,"fac_13",28,"female","femi","voi"
"461",0.984372198890951,"fac_13",29,"female","femi","voi"
"462",0.399256207930908,"fac_13",30,"female","femi","voi"
"463",1.67151480926864,"fac_13",31,"male","femi","sti"
"464",0.869312718798527,"fac_13",32,"male","femi","sti"
"465",0.499536173295121,"fac_13",33,"male","femi","sti"
"466",1.11391815237272,"fac_13",34,"female","femi","sti"
"467",1.55981211737651,"fac_13",35,"female","femi","sti"
"468",0.969875473614988,"fac_13",36,"female","femi","sti"
"469",2.17672717025252,"fac_14",1,"male","masc","fac"
"470",1.17105627316323,"fac_14",2,"male","masc","fac"
"471",0.627169264739133,"fac_14",3,"male","masc","fac"
"472",0.752277247158952,"fac_14",4,"female","masc","fac"
"473",2.4930969233113,"fac_14",5,"female","masc","fac"
"474",2.75083669525574,"fac_14",6,"female","masc","fac"
"475",-0.020355917293055,"fac_14",7,"male","masc","voi"
"476",-0.0294899298484464,"fac_14",8,"male","masc","voi"
"477",-0.0923904863742703,"fac_14",9,"male","masc","voi"
"478",-0.0257303853430614,"fac_14",10,"female","masc","voi"
